database,table,schema
PROD_ARC_SOURCE,APPROVED_SUPPLIERS,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),location_id(INT),email(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),phone_no(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),contact_no(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),designation(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),user_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),account(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),address(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,AUDITLOGS,"id(INT),userId(INT),actionId(INT),requestData(NTEXT),action(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,BUSINESS_CATEGORY,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_by(INT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,Category_MASTER,"id(INT),name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_by(INT),created_by_name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,CONTACT_PERSON,"id(INT),customer_id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),email(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),phone(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_by_by(INT),created_at(DATETIME2),updated_at(DATETIME2),designation(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),location_id(INT),street_address(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),state(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),city(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),country(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),zipcode(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,COST_TIME_TRACKING,"id(INT),project_id(INT),work_order_id(INT),quote_id(INT),so_id(INT),job_id(INT),division_id(INT),sub_function_id(INT),sub_function_type(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),detailNumber(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),duration(float(53)),notes(TEXT),supplier_id(INT),supplierCost(float(53)),supplierReceipt(TEXT),task_id(INT),category_id(INT),quotedHours(float(53)),spentHours(float(53)),availableHours(float(53)),projectBudgetUtilization(float(53)),status(varchar(50) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),createdAt(DATETIME2),updatedAt(DATETIME2)"
PROD_ARC_SOURCE,CURRENT_STATUS_MASTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,CUSTOM_FIELDS,"id(INT),module_id(INT),column_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),data_type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),input_type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),label_text(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),is_required(BIT),is_static(BIT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),helper_text(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),order_by(INT)"
PROD_ARC_SOURCE,CUSTOM_MODULES,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),slug(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),order_no(INT)"
PROD_ARC_SOURCE,CUSTOM_SELECT_FIELDS,"id(INT),option_value(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),custom_column_id(INT),s_no(INT)"
